#Taxon_ID	Increase	Decrease
sthad<6>	7	7
neva<2>	63	153
hemag<4>	15	39
gafu<1>	330	52
<26>	1	0
oula<14>	26	5
hecri<10>	11	2
mado<11>	13	659
<32>	1	0
heau<9>	2	14
stgag<5>	5	7
hehe<7>	13	41
enqua<3>	138	216
stmer<8>	37	19
chfus<16>	4	127
hyva<20>	477	51
<39>	2	0
<31>	1	0
acte<12>	42	111
ando<13>	2	40
chfle<15>	28	97
<37>	0	1
sama<17>	117	18
cyca<18>	79	135
neno<19>	187	12
