TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0007174	[76-76]	[14-14]	[34-34]	[28-28]	[31-31]	[47-47]	[12-12]	[41-41]	[20-20]	[18-18]	[4-4]	[11-11]	[6-6]	[17-17]	[4-4]	[4-4]	[12-12]	[5-5]	[8-8]	[8-8]	[5.48019-31.9091]	[12.2467-58.0716]	[8.57112-36.4778]	[12.2467-30.8568]	[11.4131-26.9733]	[17.9395-47.6061]	[18.5652-64.1212]	[17.9395-80.7569]	[10.2599-47.6061]	[6.62361-17.9395]	[6.14384-21.2813]	[9.2139-38.9948]	[5.27297-20.5688]	[4.50827-22.7777]	[2.38296-15.0989]	[1.97056-14.0857]	[3.24716-13.1364]	[2.97987-12.2467]	[3.38746-14.0857]
OG0004353	[24-24]	[9-9]	[19-19]	[18-18]	[26-26]	[32-32]	[14-14]	[17-17]	[24-24]	[20-20]	[5-5]	[5-5]	[7-7]	[14-14]	[4-4]	[3-3]	[10-10]	[2-2]	[12-12]	[7-7]	[3.68212-22.7777]	[6.87545-34.1193]	[6.14384-26.9733]	[9.2139-23.5632]	[9.2139-22.0174]	[12.6843-32.9962]	[13.1364-46.0518]	[13.6033-60.0229]	[7.1356-32.9962]	[6.14384-16.7476]	[7.40435-25.2129]	[10.6319-44.5472]	[3.99656-15.6307]	[4.33213-22.0174]	[2.06869-13.6033]	[1.6946-12.6843]	[2.72941-11.4131]	[1.78361-7.96878]	[2.61015-11.4131]
OG0002989	[16-16]	[6-6]	[8-8]	[13-13]	[16-16]	[5-5]	[16-16]	[14-14]	[28-28]	[16-16]	[8-8]	[14-14]	[7-7]	[20-20]	[1-1]	[1-1]	[3-3]	[1-1]	[5-5]	[4-4]	[1.87557-13.6033]	[4.8782-26.0788]	[4.69023-21.2813]	[7.40435-19.2115]	[8.26506-19.8791]	[7.1356-19.8791]	[5.27297-19.8791]	[3.99656-19.8791]	[6.87545-31.9091]	[8.57112-22.7777]	[8.57112-27.8974]	[10.2599-43.0907]	[6.62361-24.3746]	[5.27297-26.0788]	[0.361722-6.37983]	[0.157486-5.07238]	[0.824398-5.07238]	[0.318177-3.53239]	[0.501178-4.33213]
OG0003578	[4-4]	[2-2]	[1-1]	[0-0]	[1-1]	[0-0]	[4-4]	[0-0]	[6-6]	[3-3]	[1-1]	[1-1]	[1-1]	[2-2]	[3-3]	[3-3]	[4-4]	[1-1]	[3-3]	[2-2]	[0.235221-5.91539]	[0.235221-5.07238]	[0.120472-3.53239]	[0.318177-2.38296]	[0.406705-2.27478]	[0.0163827-1.52502]	[0.0163827-1.29045]	[0.0163827-1.97056]	[0.120472-3.68212]	[0.824398-3.68212]	[1.21721-5.91539]	[1.6946-9.55131]	[0.120472-3.24716]	[0.120472-4.16162]	[0.453174-6.62361]	[0.601995-7.40435]	[0.946923-5.48019]	[0.824398-5.07238]	[1.44428-7.40435]
OG0003596	[20-20]	[6-6]	[6-6]	[11-11]	[12-12]	[8-8]	[11-11]	[10-10]	[14-14]	[10-10]	[2-2]	[7-7]	[1-1]	[3-3]	[1-1]	[2-2]	[1-1]	[2-2]	[6-6]	[11-11]	[2.06869-14.0857]	[3.68212-20.5688]	[2.85261-13.6033]	[3.99656-11.0161]	[4.16162-10.6319]	[6.14384-17.3339]	[5.27297-19.8791]	[4.33213-21.2813]	[4.69023-22.7777]	[2.49471-7.68198]	[3.53239-13.1364]	[5.48019-25.2129]	[1.21721-6.37983]	[0.276025-4.8782]	[1.01124-8.88729]	[0.195722-5.48019]	[1.01124-5.69426]	[0.406705-3.83678]	[0.276025-3.68212]
OG0002667	[5-5]	[2-2]	[2-2]	[4-4]	[4-4]	[1-1]	[6-6]	[3-3]	[3-3]	[6-6]	[0-0]	[2-2]	[1-1]	[1-1]	[1-1]	[2-2]	[2-2]	[3-3]	[1-1]	[5-5]	[0.453174-6.87545]	[0.766058-7.1356]	[0.550768-5.27297]	[1.07768-3.99656]	[1.21721-3.99656]	[1.6946-5.91539]	[1.01124-5.69426]	[0.501178-5.69426]	[1.60843-10.2599]	[0.601995-3.11134]	[0.709584-4.33213]	[1.6946-9.55131]	[0.120472-3.24716]	[0.0499578-3.11134]	[0.318177-6.14384]	[0.084642-4.50827]	[0.501178-4.16162]	[0.884665-5.07238]	[0.601995-4.69023]
OG0004671	[11-11]	[4-4]	[4-4]	[5-5]	[6-6]	[9-9]	[4-4]	[8-8]	[4-4]	[4-4]	[2-2]	[3-3]	[3-3]	[2-2]	[1-1]	[2-2]	[3-3]	[1-1]	[3-3]	[7-7]	[1.21721-10.2599]	[2.06869-13.1364]	[1.60843-9.2139]	[2.38296-7.1356]	[2.49471-6.87545]	[3.53239-10.6319]	[3.11134-12.6843]	[3.11134-16.1801]	[2.27478-13.1364]	[1.44428-5.27297]	[1.44428-6.62361]	[1.52502-9.2139]	[1.01124-5.69426]	[0.654916-6.37983]	[0.601995-7.1356]	[0.120472-5.07238]	[0.709584-4.8782]	[0.550768-4.16162]	[0.884665-5.48019]
OG0006167	[18-18]	[4-4]	[1-1]	[8-8]	[10-10]	[7-7]	[21-21]	[8-8]	[12-12]	[11-11]	[8-8]	[3-3]	[3-3]	[6-6]	[1-1]	[3-3]	[7-7]	[6-6]	[2-2]	[24-24]	[2.38296-15.6307]	[3.11134-17.3339]	[2.27478-11.8231]	[3.53239-9.89986]	[4.8782-12.2467]	[5.91539-16.7476]	[4.16162-16.1801]	[3.53239-18.5652]	[5.91539-28.8519]	[3.53239-10.2599]	[5.48019-18.5652]	[5.27297-24.3746]	[1.6946-7.96878]	[1.60843-10.2599]	[1.87557-13.1364]	[0.501178-6.87545]	[1.6946-7.96878]	[2.38296-10.2599]	[2.06869-9.55131]
OG0003272	[18-18]	[5-5]	[7-7]	[6-6]	[9-9]	[6-6]	[6-6]	[10-10]	[7-7]	[7-7]	[4-4]	[2-2]	[2-2]	[4-4]	[2-2]	[2-2]	[1-1]	[2-2]	[3-3]	[17-17]	[2.06869-14.0857]	[3.11134-17.3339]	[2.27478-11.4131]	[3.11134-8.88729]	[3.11134-8.26506]	[4.16162-12.2467]	[3.38746-13.6033]	[3.11134-16.1801]	[3.24716-17.3339]	[2.06869-6.62361]	[2.97987-11.0161]	[3.11134-15.0989]	[0.946923-5.69426]	[0.884665-7.1356]	[1.36612-10.6319]	[0.235221-5.91539]	[0.654916-4.50827]	[0.406705-3.83678]	[0.276025-3.68212]
OG0004883	[16-16]	[7-7]	[5-5]	[5-5]	[4-4]	[4-4]	[6-6]	[5-5]	[9-9]	[10-10]	[8-8]	[7-7]	[4-4]	[4-4]	[1-1]	[2-2]	[7-7]	[2-2]	[7-7]	[11-11]	[2.06869-14.5841]	[3.24716-17.9395]	[2.49471-12.6843]	[3.24716-9.2139]	[3.38746-9.2139]	[2.61015-8.26506]	[1.97056-8.88729]	[1.44428-9.55131]	[2.17006-12.6843]	[3.68212-11.0161]	[4.69023-16.7476]	[4.33213-19.8791]	[2.27478-9.89986]	[1.44428-9.55131]	[1.36612-10.6319]	[0.550768-7.1356]	[1.78361-8.26506]	[1.29045-6.62361]	[1.6946-8.26506]
