OG,LRT,theta,thetaShift,sigma.sq,alpha,beta,shift.direction,pval,llTwoTheta,llOneTheta,isSig
OG0005805,4.062579184638864,0.9934597971601126,2.503484316497403,0.9245949652270118,4.561568897700621,0.14172810940342168,up,0.043843485850342,21.95246740309348,19.921177810774047,TRUE
OG0005435,6.1517150046739175,0.8321678371089417,2.4468292761901687,0.9798837393718014,5.533076950029317,0.2175771440225978,up,0.01312847315717251,15.410421618221868,12.334564115884909,TRUE
OG0000495,15.535409093552786,0.4192699799212599,2.4369696832944028,0.21750976962708798,4.234931842317194,0.42832407384201415,up,8.097419857833349e-5,39.03413294044948,31.26642839367309,TRUE
OG0006498,4.6971761082166665,0.9138344629830301,2.4256066829866674,0.23836112532535123,3.093355076187258,0.9088393394486984,up,0.030212218241144204,7.028019337831957,4.679431283723623,TRUE
OG0003426,8.99019752151014,1.2447146617108473,2.104345742802627,2.710949899407257,25.47896249951377,1.6316294184109477,up,0.0027143165998419743,-21.739342456828105,-26.234441217583175,TRUE
OG0005903,14.238373207584878,1.0535983620716212,1.8815522059648655,6.439465701124155,57.34615480198443,1.9204451341855329,up,1.610527042145907e-4,-28.36003212360644,-35.47921872739888,TRUE
OG0005195,7.562099039875108,1.0940338568993317,1.767552207655139,12.138720788089632,65.75230746017485,1.626655666491174,up,0.005960852495494081,-39.976826065450794,-43.75787558538835,TRUE
OG0004515,5.794726568259151,1.2189338844425859,1.7591674193320102,161.70641601350178,551.6354209160911,0.0989871084026534,up,0.016074314635487873,11.438108128051184,8.540744843921608,TRUE
OG0003408,7.298635799615745,0.9962331123281569,1.6876216161750055,364.80217516320846,980.8022912451205,0.3659074192409059,up,0.0069006985193184,-26.061831104000763,-29.711149003808636,TRUE
OG0005107,5.408747474219275,1.0913095905155032,1.5465895227692295,2.7982294329892103,25.902258308705438,0.3431804119297089,up,0.02003608719577114,16.72872070999535,14.024346972885713,TRUE
OG0007288,6.107066519546656,1.106433893468222,1.5218293671519736,10.39999983674697,95.39735124439389,0.7653971807782795,up,0.013464242103490466,-4.251484263175158,-7.305017522948486,TRUE
OG0001979,4.950384952588436,1.0838767821572475,1.5204201739038976,6.268040560244664,43.67151101816623,0.16923591776964833,up,0.026084859691745423,23.224702641923606,20.74951016562939,TRUE
OG0004859,8.584386580390287,1.0142133582916466,1.5185768319556412,18.427922114069418,130.6826987516411,0.21207521049594064,up,0.0033905758886492777,17.697796288544723,13.405602998349579,TRUE
OG0000147.1,10.172400979258441,0.7725218510359277,1.5069533342327226,4.6084249708308045,32.8305357945457,0.20244823347446003,up,0.0014255851019707737,20.269809165514367,15.183608675885147,TRUE
OG0005695,12.528232760792136,0.6017660403954805,1.4175296501439347,3.3030155922172426,29.666642837499918,0.396184611160239,up,4.0084875948919596e-4,12.135210335920874,5.871093955524806,TRUE
OG0000288.1,9.171238950298509,0.925282268200122,1.415932108281829,289.8272464436558,2048.5993019611383,0.5872101623615537,up,0.00245848078786736,-6.3497084581840255,-10.93532793333328,TRUE
OG0002473,9.486727484482401,0.6315573371106532,1.3635462983177358,3.1428654925601203,24.61134133604433,0.16237193774447714,up,0.0020696364915118695,28.886388846109586,24.143025103868386,TRUE
OG0006190,4.969004648964031,0.9903191516135215,1.361729963794018,153.39540834969907,799.6182151067441,0.18522846728698672,up,0.025805493701409336,10.84025424347227,8.355751918990254,TRUE
OG0005099,7.446075056726826,0.8800378986334682,1.3539396034611784,13.973565231928335,110.19136326210072,0.8889573589537384,up,0.006357493380498368,-12.835739325778519,-16.558776854141932,TRUE
OG0005808,4.721175663817988,0.9164226866772522,1.3421206451422087,39.00598324668037,159.13545074464113,0.16968333703668223,up,0.02979336650103894,5.046756237120839,2.686168405211845,TRUE
OG0005797,4.920268841810838,0.7623238976673429,1.326463112301405,4.127637842590678,25.011656900719014,0.23959541238626691,up,0.026543386404791477,11.665943858891197,9.205809437985778,TRUE
OG0003210,7.9537847174759335,0.511649048789109,1.305397549674807,1.81696023583667,15.035937844546067,0.22352439125555998,up,0.004798692030868157,24.30648974371927,20.3295973849813,TRUE
OG0006453,9.143647128585272,0.7338999809894432,1.3039258058991736,2.054444464006595,26.26909881187234,0.26213805548020824,up,0.002495831093270226,33.377460922742735,28.8056373584501,TRUE
OG0005005,5.83397114020125,0.6277872609036935,1.2651687698974226,1.5670525404731332,14.717328890612725,0.3087562933362107,up,0.015719599850992277,20.775389887141028,17.858404317040403,TRUE
OG0005437,3.929273805844808,0.9866619022193979,1.262008507226789,8.907550504873809,106.34747988873993,0.3945582992516094,up,0.047452431243908515,20.04107369101359,18.076436788091186,TRUE
OG0006826,5.302469085610163,0.8977236093779941,1.2536078437721458,8.938160310231314,77.46132824434775,0.7546143213990998,up,0.021295217238076553,-5.608758101280678,-8.25999264408576,TRUE
OG0004353,5.178369297907167,0.9434846802966799,1.2530715854650272,11.07242444611077,114.90367351439096,0.3915802740187566,up,0.022869777879450343,15.701654110058715,13.112469461105132,TRUE
OG0003653,6.774526264295474,0.7501097468722734,1.2049203377233888,2.6932619249780623,29.366132719753754,0.2792706988683219,up,0.00924680311802815,26.609664294795174,23.222401162647436,TRUE
OG0004152,7.687421086164768,0.8476721123067334,1.189126218731198,6.678424742912398,96.92414154141089,0.9339818880864045,up,0.005560703074660946,5.50520940871645,1.6614988656340657,TRUE
OG0002114,8.64034135587147,0.7481388532880208,1.1572666957611588,7.2465129604539325,117.21930937356687,1.509551733279692,up,0.0032879981813621686,-3.249588535143122,-7.569759213078857,TRUE
OG0004687,5.21515306504098,0.7667466549987975,1.1436802745396073,9.87247157672511,71.73169616170543,0.20073807412489886,up,0.022390875830607327,20.084039291964736,17.476462759444246,TRUE
OG0007088,5.120176842189714,0.9160723863486002,1.1271681834403946,50.467000486537536,1134.2911922606527,1.1053788191677747,up,0.023649206504952242,15.127099458459515,12.567011037364658,TRUE
OG0006533,7.863090943537614,0.7298225360434628,1.1254028628225472,6.885395098782244,99.32229428500767,0.2614087121471287,up,0.0050454067937113,35.723943995794414,31.792398524025607,TRUE
OG0006530,3.8569040483899215,0.7371715949954711,1.1236167725342119,19.91694630753572,88.09878834113877,0.22313135059464667,up,0.049541665108645,1.6166458973559124,-0.3118061268390484,TRUE
OG0002924,7.544363891817483,0.7447012638563142,1.1098199651654546,1.4884644360229,34.123803655386595,0.4192041075174449,up,0.006019806999353765,40.56927761789508,36.79709567198634,TRUE
OG0004871,10.18306982839318,0.5842137232936329,1.090962933619771,2.638232306848843,37.45626792455205,0.3180728707662801,up,0.0014173601090909796,31.633424675300574,26.541889761103985,TRUE
OG0007154,6.778129902596824,0.6233271126695508,1.0878717217858598,10.447006389800253,87.00088120717146,1.5158846837631375,up,0.009228152502026027,-24.511014928564247,-27.90007987986266,TRUE
OG0004075,11.806858943247647,0.5591738468482538,1.0838841329199316,1.0474071547155015,24.94312165659255,0.8948143298257176,up,5.901290934195253e-4,23.596749260185582,17.69331978856176,TRUE
OG0002944,6.524201084214695,0.6860204755376075,1.07113779537974,3.53083482659595,46.22803201856695,0.36311286840597845,up,0.010641633877528707,25.646218017785614,22.384117475678266,TRUE
OG0005737,6.192915588405981,0.6220269470027657,1.0650268404672545,2.67759611368247,28.935932143014952,0.5001209888512954,up,0.01282627005444685,12.49898855398552,9.402530759782529,TRUE
OG0005697,7.525966156897887,0.7267865619750203,1.0579342920980284,4.563531642556425,70.54502941365858,0.30808327290671506,up,0.006081592954146669,34.36598424651258,30.60300116806364,TRUE
OG0005979,10.744644073894555,0.6281117063645857,1.0536146111743299,1.6515346898094794,52.03881916612151,4.3146788094313955,up,0.0010458155310503954,-10.066100621675329,-15.438422658622606,TRUE
OG0006201,4.513468234958246,0.7225431798447766,1.0524568004371868,272.27561926554034,1798.427305800725,0.15689282925375153,up,0.033628985439183724,22.19118364572369,19.934449528244567,TRUE
OG0003639,6.5715223738556645,0.6861094299098369,1.0378357256234627,7.000269994129167,90.1026533393552,0.41374587667196105,up,0.010362327589804059,21.41252661468943,18.126765427761597,TRUE
OG0003723,5.2470680425074505,0.5944349358996809,1.0288168804321638,2.6822726665209773,27.998011182248767,0.6394486979954775,up,0.021983783135326458,5.43888099192209,2.815346970668365,TRUE
OG0004829,6.7530367400272056,0.6013624065429173,1.026140304931834,6.6299170693759315,59.078600562439505,0.2809951838975707,up,0.009358826436725259,19.04967046384391,15.673152093830307,TRUE
OG0006502,9.129203622506665,0.765671909610088,1.0167040097822093,4.047012060943351,188.3814013870272,1.7919985637268463,up,0.002515611998419645,26.056064780557783,21.49146296930445,TRUE
OG0006431,11.453023492110617,0.6018286701168174,0.9936352051429155,4.03915204579265,86.37318495110287,0.7683217950223592,up,7.137776829778595e-4,22.78798626829746,17.06147452224215,TRUE
OG0001113,5.33098453402539,0.6953910437591606,0.9885077487111175,3.280796297884027,47.253839749850506,0.21953397599482877,up,0.020949547792145726,40.38884479956444,37.72335253255174,TRUE
OG0005567,6.6971542605918515,0.760028749068651,0.9854343989746271,17.786321290794028,430.99752388035273,0.5343660022919092,up,0.009656691685217704,35.33683739429981,31.988260264003888,TRUE
