#Taxon_ID	Increase	Decrease
<29>	0	1
hemag<4>	18	59
neva<2>	52	156
hehe<7>	19	76
stmer<8>	18	10
gafu<1>	306	51
sthad<6>	10	13
enqua<3>	128	247
acte<12>	34	93
chfus<16>	5	118
sama<17>	104	18
cyca<18>	71	131
stgag<5>	9	10
<32>	1	0
oula<14>	15	5
hecri<10>	11	5
mado<11>	17	741
heau<9>	4	14
hyva<20>	446	51
chfle<15>	27	81
<39>	1	0
neno<19>	170	10
ando<13>	2	40
