TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0007011	8	13	24	20	39	16	6	36	24	11	4	15	42	12	1	1	7	26	6	2	6.87545	14.0857	16.7476	18.5652	17.3339	21.2813	23.5632	25.2129	18.5652	14.0857	10.6319	16.7476	19.2115	22.0174	3.11134	3.83678	6.87545	7.1356	3.11134
OG0005668	16	4	4	4	2	2	2	3	10	10	2	5	1	9	1	4	3	1	4	6	4.16162	5.69426	3.83678	3.83678	3.68212	2.61015	2.61015	2.06869	2.61015	5.27297	6.14384	10.2599	4.16162	3.83678	2.85261	1.97056	2.85261	2.38296	3.53239
OG0006890	5	17	8	6	7	9	4	4	8	6	5	6	1	6	2	2	4	2	3	9	5.27297	7.1356	7.96878	5.91539	5.48019	5.91539	7.40435	7.96878	3.99656	5.07238	6.37983	7.1356	3.83678	2.97987	3.83678	2.49471	2.72941	2.61015	2.97987
OG0007166	32	5	9	12	16	16	10	14	12	10	11	10	5	10	2	3	3	5	14	13	8.88729	12.6843	9.2139	11.0161	11.4131	13.6033	14.5841	16.1801	12.2467	9.55131	11.0161	11.0161	8.26506	7.40435	5.91539	4.16162	5.91539	3.68212	3.11134
OG0005514	3	1	2	6	5	4	12	5	6	7	4	3	1	4	1	2	1	1	1	5	2.27478	2.97987	2.97987	4.16162	4.69023	5.69426	5.07238	4.50827	7.1356	3.99656	5.69426	6.62361	2.49471	2.27478	1.78361	0.766058	1.14631	1.29045	1.44428
OG0005981	0	8	10	9	10	9	7	12	16	20	13	7	11	12	2	2	2	7	3	24	5.48019	5.07238	10.2599	11.0161	11.0161	9.55131	9.55131	9.55131	9.89986	12.6843	16.1801	17.9395	9.89986	11.8231	5.69426	2.72941	3.24716	3.38746	2.06869
OG0006099	20	8	8	18	35	26	10	34	13	10	3	8	15	4	5	5	11	4	10	37	12.2467	13.1364	11.4131	12.6843	13.6033	24.3746	25.2129	30.8568	21.2813	7.68198	7.68198	11.4131	7.68198	7.68198	11.0161	6.37983	7.1356	6.14384	7.68198
OG0002559	130	18	29	50	54	38	14	37	85	78	35	18	41	93	1	55	122	2	56	0	15.6307	46.0518	32.9962	41.6808	44.5472	37.7159	47.6061	46.0518	25.2129	50.8705	62.0388	80.7569	41.6808	64.1212	4.50827	10.6319	30.8568	23.5632	83.4576
OG0006996	6	4	16	6	11	7	2	10	7	4	1	2	4	2	1	2	3	4	3	3	3.68212	5.48019	5.27297	5.91539	4.69023	6.87545	7.96878	8.88729	5.69426	2.97987	3.38746	5.48019	2.49471	2.85261	2.38296	2.06869	2.97987	2.97987	2.49471
OG0003645	32	38	62	53	58	56	45	80	66	45	62	21	9	17	2	4	2	1	10	12	14.5841	40.316	43.0907	46.0518	43.0907	58.0716	56.1826	58.0716	64.1212	30.8568	58.0716	54.3541	15.0989	12.6843	4.69023	2.97987	3.68212	2.06869	2.97987
