Orthogroup,Gafu_body1,Gafu_body2,Gafu_body3,Gafu_tentacle_c1,Gafu_tentacle_c2,Gafu_tentacle_c3,Gafu_tentacle_sw1,Gafu_tentacle_sw2,Gafu_tentacle_sw3,Acte_tentacles1,Acte_tentacles2,Acte_tentacles3,Acte_mesentries1,Acte_mesentries2,Acte_mesentries3,Acte_tentacles4,Acte_tentacles5,Acte_tentacles6,Ando_tentacles,Chfle_tentacles,Chfus_tentacles,Cyca_tentacles,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hehe_body,Hehe_nematosomes,Hehe_tentalce_exo1,Hehe_tentalce_exo2,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5,Hyva_body1,Hyva_body2,Hyva_body3,Hyva_tentacle_1,Hyva_tentacle_2,Hyva_tentacle_3,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Neno_tentacles,Neva_mesentries1,Neva_mesentries2,Neva_mesentries3,Neva_nematosomes1,Neva_nematosomes2,Neva_nematosomes3,Neva_tentacles1,Neva_tentacles2,Neva_tentacles3,Oula_tentacles1,Oula_tentacles2,Oula_tentacles3,Sama_tentacles,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4
OG0005009,41.851082,32.7144298,30.550054,32.32365492,37.64863124,40.36853624,40.50427824,35.10498824,29.4949132,7.803781535,5.535299792,8.302568142,1.154000715,1.85254361,1.794442633,12.93830965,10.30871581,8.834337281,6.55863445,14.44748522,5.808259095,11.91712892,21.07109603,7.024489472,17.26903668,26.09151412,11.42498269,31.25228663,23.10513114,16.66750176,17.72945647,16.3295092,29.03414077,14.20714501,13.07896156,10.75752815,12.43699901,10.86927363,17.01235089,20.27946969,12.64499451,16.56925749,26.28645915,18.37010938,21.85389288,21.14874863,13.03503627,12.4280762,35.90866776,13.51619466,14.78432271,22.93258611,5.408340048,4.46272772,4.192474688,4.508117708,20.9269755,16.92167296,8.52026623,3.399883508,4.337383778,4.897908288,7.458593562,7.407066422,4.436860526,5.28286675,15.78092503,12.44602528,15.17424239,20.74627417,37.63874645,55.52067919,58.14012701,34.97939374,25.81196253,28.21210873,28.4237044,17.39615744,28.66849031,11.01194482,14.88944294
OG0005513,26.33329968,24.33226,24.00502048,14.67435852,14.4502424,18.42886068,20.98518644,28.85275224,49.5745992,4.562696644,3.142900387,3.685797951,1.396769956,1.941469265,2.013189314,6.308078821,4.634808838,4.392887477,2.219147725,5.66416396,2.322904185,1.993112836,5.835018,1.853093564,4.317808656,6.66413132,5.980884728,12.71036127,9.71289228,17.67432248,18.69390541,11.4424401,16.53892968,6.184188304,10.73656713,15.2407855,9.134358856,3.81858327,5.57940555,5.43983931,6.15999438,2.592531244,5.674850077,3.807810676,2.967470186,4.338230043,8.886642539,9.248712056,13.17454439,55.93020484,60.28284723,47.44427953,2.536994748,1.070768947,1.345503836,2.042529585,9.229722525,5.13776312,4.149910422,4.365149698,10.07107296,9.484838272,13.10145614,8.57419619,9.61461725,8.605272662,4.35333522,5.047396835,6.65122783,9.263357814,8.143679645,9.288593115,7.672574842,14.91141922,6.005732304,5.524693236,5.494599036,3.49971367,13.7829436,4.636064135,7.42201844
OG0005911,71.7584888,75.993234,59.9347528,83.9071952,88.40451,85.8156872,85.9453512,73.134548,71.1397484,34.71941418,30.84184697,46.70589374,9.327909426,14.19397753,14.34070317,35.53507474,38.30764234,38.35957499,25.63751125,6.497976016,7.63589822,3.4605296,34.0053336,47.07333176,10.8745896,24.27814054,26.19394529,18.01497701,65.98756164,60.95583312,82.34250024,70.96735464,46.48514052,45.14542928,34.85581232,46.57152752,46.97889504,43.0632018,44.2647018,48.3925752,39.541365,85.47540253,62.42737662,81.276236,63.55237413,89.88726935,33.96982215,32.77528204,53.83884682,48.64977357,50.17405506,54.61180106,23.50557919,24.18108755,22.90450345,16.75755128,31.4466165,21.94249884,18.42020501,14.54544417,16.41553228,16.68598302,24.34983081,21.9297372,13.75926817,13.53644666,91.4419571,58.33856145,76.061414,36.48319558,95.89469497,83.07192365,76.06715552,75.10294956,27.35041147,20.89838218,20.33204278,36.95634097,63.90686359,39.22844248,36.31945722
OG0004287,25.7148024,38.83096432,21.10079,28.21857372,32.86188208,33.6575328,30.29712816,39.83902088,32.33662132,5.627655121,5.039014431,7.192693222,2.150774802,2.735282077,2.790224701,7.24746627,9.097455642,6.065606338,14.48344978,2.835426146,8.665991185,2.600181056,8.440139848,7.873942496,1.303408702,3.345403342,3.122531821,4.53735884,8.998050516,10.69162349,13.86868392,8.677222008,10.36750151,11.97083457,15.49434527,15.07272301,18.06643759,5.21616807,7.35339627,6.15622167,5.7626343,12.81175313,20.62888503,7.917078842,5.348762464,10.58271115,18.04485828,16.44038841,13.19341886,75.00521002,80.01480734,25.99960225,5.054114296,2.475411441,2.52365352,4.312992932,21.955788,9.062155536,4.698287342,1.561347096,13.10057511,18.06811178,17.02379281,4.149723536,2.865389548,3.036657218,10.58076045,9.496548295,11.41903133,35.32201407,13.16095715,28.66562907,21.84393679,34.94889732,13.57629613,19.90597578,12.39743944,14.38688922,25.63000036,14.12838934,11.12391648
OG0003397,12.98151396,16.16861456,16.6776268,15.6172184,22.4705686,21.124089,12.4787418,16.55075868,13.05141096,5.099383487,5.409029263,5.427894593,6.252415499,6.881754429,5.674288521,5.262473205,5.577248655,5.011309952,6.007620725,4.179835926,2.58783218,4.232656384,21.25676997,21.51361542,16.43043382,10.52853553,11.20044352,17.45450129,20.15661866,24.27782885,16.3208955,12.7099518,27.36492049,24.77078369,23.64091587,20.2307569,47.37378576,13.65694587,31.8991041,29.5013907,24.8604768,79.81015725,38.10029606,25.92379089,25.52628543,59.99004051,44.79342847,41.14408456,30.36878788,41.10504363,43.80925999,29.96742465,14.04980372,12.69163193,10.03521208,8.816464812,8.3176371,7.934084942,4.479337044,2.535626531,8.260841764,10.92468811,11.75128489,4.916089626,1.72135622,1.236435106,16.53252003,17.98802012,20.7602904,4.444048074,31.42156459,41.51114293,52.55182026,88.60637502,40.2041793,32.36527552,25.92565173,47.72162446,44.15237807,31.76776145,22.14293445
OG0005036,7.150767,9.48974348,7.796048,7.03115196,10.765151,10.723618,16.7929062,16.92714896,14.681409,3.421683331,2.568058944,3.189343014,3.030450302,3.850541035,3.979143234,3.415154655,3.232945243,2.348987949,1.962241175,4.408023648,2.54142764,1.778911024,13.56421018,5.763218496,4.400702544,10.48419288,8.652154224,5.453796824,6.112620696,11.14976444,11.06245577,10.71265104,8.55004332,4.52736284,5.984528312,10.29204994,7.211808744,6.7968855,9.08754525,6.39147537,7.21904454,2.408211069,13.55645774,3.803753204,2.967679399,5.47980613,0.853968383,0.977573652,5.026786564,1.326273757,1.39925221,8.803336497,10.4402935,8.928834224,8.6003717,68.4228604,8.4057831,7.228029634,8.225493612,7.506116002,15.83332899,12.92367416,18.41967105,4.515673022,5.544186774,8.445618622,5.092492535,3.657237025,5.790069675,4.316561992,12.27474416,27.0769278,15.65313108,21.07442127,11.98789082,47.9250135,66.24034362,7.428642031,19.5498735,6.476313506,5.591719441
OG0005433,10.51599352,8.80677888,9.5791306,6.1027172,10.39078672,9.21676024,9.91560868,10.10098768,13.1827768,2.115795513,2.123557854,2.302184973,0.779937256,0.968679583,0.871387473,1.803960087,2.225494227,1.947826245,1.139403933,1.56171176,1.68056393,2.132590196,3.08218036,4.158370496,1.546661794,3.002307773,2.791497033,1.942518486,7.999716816,7.28379834,7.069754328,6.904067352,8.94335988,5.264398608,6.451160632,6.720597128,6.74745344,5.6866995,3.93846894,5.09649867,4.4868816,3.555423238,5.262509485,4.253213325,2.837982941,4.105876373,3.350891448,2.982642791,4.47931476,3.374765398,2.843331271,3.215034629,2.674108784,2.514982964,2.097715562,2.049935581,3.010464675,2.999226622,2.294978769,1.554253438,3.400310676,3.705495514,3.535162274,2.049568083,3.007182626,2.82678424,1.666506745,1.813884826,2.028940401,0.638238026,2.499931052,3.482074747,4.213112866,3.491418331,3.211442365,3.606422052,2.757364356,5.62315902,5.553356561,4.126437251,3.323514161
OG0007200,50.2294024,69.609308,48.7953996,62.4320004,78.8993284,82.7997836,64.6018464,63.314526,55.0411524,4.969657847,4.038219273,4.936823694,2.999184727,2.988671015,3.333885357,4.958126679,4.209745397,3.644972529,7.559263625,7.106118796,7.23848498,5.260859252,26.881204,45.40010328,9.275114352,24.56014025,18.26854299,10.25305988,13.85848682,15.65475912,18.55678297,18.30283728,14.24220798,14.48637579,10.01035498,12.35845755,11.09193758,9.09646038,8.71988625,7.747272,8.22712707,15.78645069,20.42620162,19.80379176,13.513252,15.72517652,137.4996276,131.1410117,82.43169369,215.4761614,213.7426317,94.78351368,9.379429852,6.841192904,6.415366744,6.464632396,9.20146005,9.230272842,10.31285004,9.756810798,11.41491679,11.2678909,13.79413575,16.56536146,18.54920974,14.93859892,10.00535386,9.897754555,10.78167877,45.9768173,19.51667062,17.88112167,21.11033567,15.06081923,27.51576238,17.77223012,15.64838212,14.40328335,25.0889339,13.64906314,18.56427717
OG0006837,16.32036196,15.40683856,15.20926304,14.00367148,10.07039508,15.39302124,17.24863464,17.94031104,19.71557328,1.332861001,0.710139774,1.031407865,0.476054944,0.507833487,0.6614863,1.719125453,1.701521345,1.077354483,1.407828182,0.590414572,2.920185575,3.575575124,8.006412232,10.59318299,2.34307808,6.395563496,5.853752856,3.991431416,0.964461607,3.014578258,3.104201864,3.002756593,1.557429073,1.681220727,2.917088317,2.188140634,3.68954572,3.14386893,2.145355146,2.50361361,2.191483134,2.330716524,1.568285836,1.895638239,2.131054032,2.51121063,0.498266189,0.654716396,2.410311183,0.822676656,0.890871892,4.708757463,2.299314684,1.828255054,1.967177733,2.23171416,1.761366825,1.417362113,1.192709122,1.36800018,7.026085962,7.78927499,6.599371828,2.972582018,2.682695134,2.345114943,1.625760597,1.552540698,1.221460676,7.38782245,7.358331944,4.38240044,2.769324747,2.982760756,3.91375071,8.644692702,5.401273578,2.513287138,4.145079213,4.132131741,5.122313639
OG0005487,17.9434716,20.43456016,14.14200676,21.39107528,33.8579042,33.81483144,48.4651616,51.1042292,72.4817708,0.826100083,0.572293564,0.699172446,0.551117761,0.721469571,0.639263365,1.913048327,1.962047312,1.917088476,3.11028145,17.18213224,4.03453196,0.56046756,1.078538098,0.99224263,0.561497938,1.215930531,3.226292222,0.325147438,10.38742068,6.082916112,5.986265376,5.440435728,8.879928876,114.3115058,13.57054748,6.938410864,22.73104523,4.46484609,5.96032911,5.19583869,7.34724459,4.131584262,14.54327931,2.98920302,1.489710355,3.512978277,4.885565128,4.877054767,6.746694009,27.91016425,25.98120526,20.13374464,0.778966229,0.239349829,0.446240475,0.927558193,6.83989065,5.049312646,3.477307708,5.244181348,10.76433992,10.02862314,14.96900794,17.76431524,11.86354998,8.726615072,6.392751885,8.991282495,8.131312345,7.127999258,1.698060131,5.169662278,4.366633142,5.647482782,7.318140366,5.03509404,4.942905474,5.230688775,10.28394923,4.92153791,5.596245062
