Description	Orthogroup	gafu	acte	ando	chfle	chfus	cyca	enqua	heau	hecri	hehe	hemag	hyva	mado	neno	neva	oula	sama	stgag	sthad	stmer
desc	OG0002354	30	2	5	5	2	14	6	4	5	6	4	3	1	9	3	6	8	8	6	7
desc	OG0002419	26	1	3	23	5	0	14	7	10	18	5	47	1	11	6	3	10	16	15	26
desc	OG0002435	4	1	1	16	5	2	4	5	4	3	5	5	2	49	4	1	3	5	4	6
desc	OG0002528	57	8	10	5	12	2	23	54	75	30	31	174	15	31	6	40	90	46	23	36
desc	OG0002720	35	1	1	1	2	2	2	2	2	2	1	2	3	11	3	2	6	1	2	2
desc	OG0002739	17	17	11	10	4	2	10	41	55	38	22	4	10	14	12	13	6	16	11	10
desc	OG0002741	8	12	4	27	2	1	3	5	8	12	4	75	6	11	2	4	7	6	5	5
desc	OG0002764	120	267	119	97	11	12	364	184	104	156	292	368	26	28	212	52	29	237	558	570
desc	OG0002943	14	1	1	1	2	1	4	9	4	2	2	25	1	4	1	2	7	2	2	2
desc	OG0002973	255	42	60	209	103	37	78	138	115	147	111	71	7	424	14	53	117	109	283	155
desc	OG0003023	97	19	14	5	5	5	42	26	26	14	16	28	9	32	65	57	16	16	7	23
desc	OG0003032	8	3	7	2	3	2	5	8	8	4	7	7	2	2	3	2	2	8	20	18
desc	OG0003033	15	4	10	4	5	2	8	21	15	12	20	17	8	20	8	9	7	14	11	16
desc	OG0003101	98	41	23	17	4	6	65	67	42	44	93	19	60	11	18	76	19	81	32	56
desc	OG0003212	8	8	4	4	5	1	15	28	19	18	19	7	26	7	39	7	1	30	17	19
desc	OG0003230	5	3	3	1	3	7	20	9	16	20	6	4	6	14	3	3	4	8	5	10
desc	OG0003308	13	4	5	4	5	1	23	24	26	19	27	7	17	8	3	16	26	40	26	20
desc	OG0003341	23	8	9	9	6	5	6	22	14	24	11	51	4	16	9	12	13	13	15	16
desc	OG0003353	24	0	2	1	2	5	3	3	5	2	2	3	6	9	7	3	5	3	5	4
desc	OG0003365	5	1	1	1	2	2	7	8	4	4	4	1	1	6	2	3	3	5	4	5
desc	OG0003371	26	17	18	5	8	11	25	10	23	17	43	25	3	25	9	10	29	47	54	53
desc	OG0003415	20	1	9	2	3	2	15	5	2	2	2	19	3	8	2	8	10	2	1	1
desc	OG0003439	39	11	23	6	10	18	22	29	26	31	18	28	8	23	8	62	21	27	26	31
desc	OG0003459	108	13	7	5	6	22	16	54	40	16	84	31	15	10	21	28	21	37	38	36
desc	OG0003540	30	2	2	2	3	1	13	7	9	6	6	3	3	7	6	4	6	6	8	5
desc	OG0003657	8	4	1	2	2	1	3	7	9	8	5	10	3	4	5	3	5	22	5	5
desc	OG0003696	11	3	6	3	2	1	4	11	5	7	5	5	5	3	8	3	2	7	10	9
desc	OG0003723	13	2	2	2	3	1	7	12	8	26	8	3	6	3	4	4	1	21	21	14
desc	OG0003774	20	2	8	28	3	3	12	7	5	10	10	304	1	18	3	6	12	13	14	30
desc	OG0003787	25	3	3	3	2	3	6	19	14	22	8	14	3	43	0	9	11	8	40	10
desc	OG0003801	25	7	13	3	12	5	9	41	13	24	13	47	3	18	16	21	15	14	16	16
desc	OG0003884	27	9	11	2	8	12	16	18	16	10	23	26	8	14	6	15	19	24	20	18
desc	OG0003914	17	22	42	56	2	4	8	23	17	8	12	7	8	2	11	19	5	16	16	18
desc	OG0003964	54	29	28	6	3	10	23	28	20	28	55	28	13	8	24	46	10	33	39	50
desc	OG0004026	46	16	5	2	5	3	18	23	18	12	22	16	9	7	4	10	11	29	21	42
desc	OG0004079	14	8	1	7	3	1	7	9	7	9	7	5	2	3	7	3	3	8	10	10
desc	OG0004122	34	4	5	4	8	2	11	14	34	20	16	28	4	11	6	7	16	26	16	20
desc	OG0004216	14	3	1	2	1	4	10	1	3	5	1	5	0	4	1	6	2	3	1	3
desc	OG0004284	10	6	1	4	2	1	2	6	9	9	6	35	1	4	13	3	5	8	6	11
desc	OG0004308	11	8	4	3	3	4	10	8	13	9	16	17	9	8	8	5	4	16	12	11
desc	OG0004316	16	6	4	2	4	9	11	17	15	13	14	19	6	11	18	13	5	18	9	40
desc	OG0004334	28	6	7	1	8	2	9	20	15	20	13	73	5	25	8	14	31	13	15	16
desc	OG0004373	17	6	4	2	3	4	11	5	8	4	4	1	2	7	5	11	9	2	5	7
desc	OG0004377	4	2	5	4	3	2	4	3	4	4	13	11	1	2	0	3	4	8	9	6
desc	OG0004407	52	4	9	2	3	2	8	5	10	12	17	28	5	11	2	8	10	34	14	18
desc	OG0004437	34	10	10	2	5	7	12	23	16	16	16	33	10	12	0	18	10	16	21	24
desc	OG0004520	11	4	3	1	3	3	9	11	8	8	10	17	3	5	6	7	3	8	5	7
desc	OG0004750	56	37	16	12	7	3	28	45	41	26	32	31	61	6	44	27	3	39	33	22
desc	OG0004782	20	5	11	4	2	2	30	24	14	48	12	18	5	5	6	19	5	32	29	44
desc	OG0004858	11	0	1	1	2	2	1	3	6	2	1	33	1	6	6	1	4	2	3	4
desc	OG0004860	20	2	2	2	1	2	5	4	4	4	4	8	2	5	9	3	1	4	5	7
desc	OG0004916	22	5	1	1	3	2	3	13	10	6	7	9	2	5	5	5	12	9	5	6
desc	OG0004939	20	4	14	5	3	5	15	10	15	8	8	19	4	17	10	11	16	12	7	13
desc	OG0005012	15	6	3	2	3	4	5	10	9	13	8	1	2	10	7	7	12	9	8	10
desc	OG0005052	32	9	6	11	4	4	18	22	23	28	18	36	15	18	6	22	16	19	19	26
desc	OG0005071	50	3	5	9	2	2	12	9	16	15	11	8	3	7	6	8	5	20	13	17
desc	OG0005096	6	2	1	1	2	1	7	2	2	4	1	1	2	3	4	1	2	2	4	9
desc	OG0005138	14	2	1	1	2	1	1	13	9	3	4	6	2	2	2	4	2	3	3	4
desc	OG0005152	7	2	1	1	2	4	2	5	3	4	4	1	2	1	4	4	3	7	4	4
desc	OG0005155	7	4	2	1	2	1	4	9	10	5	7	4	3	2	4	4	3	8	6	6
desc	OG0005169	16	0	1	1	2	2	2	8	9	2	4	16	4	3	3	1	4	4	3	6
desc	OG0005170	22	7	19	3	3	16	13	46	23	14	13	23	10	6	18	23	16	24	15	24
desc	OG0005189	12	1	1	1	2	6	2	5	2	2	1	0	18	3	4	23	5	2	2	3
desc	OG0005190	52	7	10	2	3	5	7	22	22	11	30	74	12	4	24	12	10	22	27	19
desc	OG0005191	24	6	12	4	5	8	8	21	20	12	14	21	6	10	5	20	8	12	17	20
desc	OG0005211	37	4	9	3	2	4	3	8	5	5	6	8	1	2	5	9	2	6	7	4
desc	OG0005223	31	1	3	1	3	4	4	9	4	6	5	1	1	12	7	3	7	15	7	8
desc	OG0005230	28	50	13	2	3	1	10	33	20	20	36	0	10	7	6	19	9	22	21	26
desc	OG0005231	17	13	11	5	7	15	15	9	20	13	12	52	7	25	14	26	16	12	12	16
desc	OG0005244	87	18	18	4	8	24	26	45	51	71	54	35	26	5	13	36	12	110	65	74
desc	OG0005262	16	1	3	1	2	26	2	2	2	3	3	11	4	10	4	1	8	4	5	6
desc	OG0005274	4	2	15	1	2	21	9	9	5	3	10	6	2	6	4	8	5	12	8	8
desc	OG0005304	16	10	8	2	3	4	21	14	20	10	14	35	11	11	3	21	10	12	12	18
desc	OG0005437	14	6	2	6	31	4	16	23	17	14	16	19	7	11	9	6	10	33	25	22
desc	OG0005605	22	6	3	7	4	1	8	23	15	18	12	20	6	12	13	7	8	14	6	11
desc	OG0005686	22	2	3	3	3	2	3	7	8	5	11	12	2	12	6	5	6	16	16	10
desc	OG0005717	26	3	2	2	3	1	4	9	9	6	14	5	5	22	4	8	10	14	11	11
desc	OG0005728	52	2	2	1	8	2	6	5	7	9	8	6	2	9	4	4	4	14	6	8
desc	OG0005789	25	4	5	6	2	2	3	16	10	6	7	33	4	8	3	6	6	8	9	12
desc	OG0005805	37	12	18	1	5	4	38	39	33	20	27	20	18	7	5	21	27	36	38	31
desc	OG0005904	11	3	3	1	2	5	9	17	4	5	4	13	5	4	3	4	26	8	5	6
desc	OG0005927	13	0	1	1	2	1	2	4	2	4	7	0	2	5	3	1	5	2	4	7
desc	OG0005959	7	6	3	1	2	3	2	3	4	4	7	15	2	3	2	4	4	4	3	4
desc	OG0005997	53	8	5	5	21	3	21	8	12	36	14	39	8	25	5	6	16	26	23	28
desc	OG0006023	38	57	173	51	7	10	35	38	58	32	153	77	5	11	46	72	6	54	58	42
desc	OG0006061	0	1	4	1	2	2	6	10	4	8	4	3	2	6	2	35	4	6	4	6
desc	OG0006079	30	8	8	10	21	1	11	18	15	9	17	11	6	38	9	15	28	2	4	14
desc	OG0006086	54	18	33	9	3	15	13	16	16	23	23	9	10	42	23	27	18	10	18	14
desc	OG0006093	16	3	5	2	2	13	17	12	8	8	10	19	5	15	8	17	3	15	8	12
desc	OG0006124	73	19	19	3	7	19	25	20	24	30	24	24	20	27	17	56	21	28	23	31
desc	OG0006126	42	16	12	9	8	9	12	43	22	34	31	40	8	24	8	63	44	16	24	22
desc	OG0006128	27	3	6	1	2	6	8	11	10	12	8	12	7	13	15	7	4	10	10	14
desc	OG0006129	99	7	8	3	4	53	13	15	44	30	13	13	12	32	17	19	7	20	21	20
desc	OG0006139	19	8	4	1	3	8	7	15	16	4	8	12	7	8	8	18	11	12	6	5
desc	OG0006146	30	7	16	4	5	19	15	33	26	34	20	26	10	18	10	37	11	18	16	20
desc	OG0006161	34	24	54	6	6	34	58	32	30	27	62	184	5	10	47	39	38	45	68	69
desc	OG0006162	32	12	6	6	3	5	21	20	21	20	19	37	13	14	13	22	26	46	20	27
desc	OG0006163	100	47	50	9	8	9	72	107	45	60	98	87	26	17	52	87	46	97	50	94
desc	OG0006168	12	1	1	24	23	9	2	10	4	2	4	8	4	39	0	4	18	9	6	10
desc	OG0006200	42	6	5	2	8	20	47	14	9	12	8	35	5	7	11	17	7	11	7	24
desc	OG0006208	16	10	5	4	11	2	12	22	22	15	22	1	11	8	14	26	14	14	18	9
desc	OG0006209	39	5	10	6	9	12	46	23	20	12	32	17	4	16	8	22	19	34	26	30
desc	OG0006211	18	6	3	1	3	3	11	19	12	18	13	12	8	11	3	16	12	16	13	13
desc	OG0006215	18	2	3	1	6	8	6	9	6	4	7	71	4	10	10	3	18	13	17	7
desc	OG0006219	23	17	10	7	7	8	14	39	28	8	12	50	7	17	8	24	18	22	31	15
desc	OG0006242	6	3	1	1	4	7	5	17	3	2	6	8	1	9	3	15	9	6	4	9
