Description	Orthogroup	gafu	acte	ando	chfle	chfus	cyca	enqua	heau	hecri	hehe	hemag	hyva	mado	neno	neva	oula	sama	stgag	sthad	stmer
desc	OG0004219	64	22	8	10	8	7	23	48	64	30	32	10	15	24	15	13	10	40	22	36
desc	OG0003617	4	3	4	1	2	0	5	7	4	6	3	4	2	3	2	5	2	5	12	8
desc	OG0007128	23	4	3	2	2	4	5	17	8	4	10	6	4	8	6	9	11	20	9	11
desc	OG0003842	4	8	1	1	3	1	2	7	5	4	7	2	1	5	1	3	7	18	22	14
desc	OG0004047	8	2	1	35	3	10	2	7	4	4	3	18	2	3	1	1	2	5	4	4
desc	OG0006489	15	4	2	2	3	1	4	6	6	10	8	6	3	4	4	3	3	8	12	8
desc	OG0000038	8	2	1	7	27	3	2	7	4	2	4	11	2	6	1	11	9	4	3	2
desc	OG0005064	7	2	1	2	2	11	2	3	2	2	1	61	1	9	2	2	6	2	1	2
desc	OG0005806	11	1	1	4	4	2	2	6	8	6	3	3	4	5	1	1	6	4	3	4
desc	OG0004106	7	3	1	1	2	1	3	11	5	12	4	2	1	3	3	2	1	6	4	5
desc	OG0004668	65	52	27	30	63	2	48	130	111	107	51	69	77	58	68	35	30	70	74	59
desc	OG0004813	22	4	6	3	4	40	8	16	14	16	10	42	4	10	6	6	7	12	14	15
desc	OG0003042	15	2	3	1	2	1	4	5	8	5	5	17	2	2	6	5	7	5	7	6
desc	OG0005933	7	4	3	2	2	3	3	12	6	5	4	6	3	7	3	4	6	10	12	4
desc	OG0003396	29	7	8	3	28	11	4	17	13	12	9	1	3	15	13	15	17	19	10	13
desc	OG0004828	10	3	3	1	4	2	4	9	11	5	6	25	4	7	8	3	6	9	8	7
desc	OG0006074	6	6	1	2	2	34	7	8	9	3	5	18	2	6	5	5	15	9	8	6
desc	OG0003622	20	1	3	2	3	1	4	10	10	4	4	3	2	2	2	1	9	5	5	8
desc	OG0002215	6	2	1	1	3	6	3	3	5	4	3	1	0	4	3	2	1	3	4	4
desc	OG0005887	70	5	12	5	7	9	11	27	24	59	35	17	10	17	13	21	16	30	27	36
desc	OG0005438	10	2	1	1	3	1	3	8	7	4	3	5	2	4	3	2	2	5	4	5
desc	OG0000089	30	7	2	3	7	2	6	4	4	2	1	17	0	10	6	4	8	2	6	6
desc	OG0005638	12	7	5	3	3	5	15	9	14	20	19	5	5	9	12	6	6	17	14	14
desc	OG0003182	6	4	1	1	2	1	3	11	6	6	6	1	2	2	3	4	1	9	4	9
desc	OG0005056	10	1	1	2	2	10	2	2	1	3	3	3	0	6	3	1	11	6	2	4
desc	OG0007345	0	9	14	3	8	42	28	18	23	12	31	11	14	14	29	24	16	24	26	32
desc	OG0006055	10	0	2	1	2	3	2	3	2	1	2	7	4	2	3	2	2	3	5	2
desc	OG0006740	9	2	3	1	2	2	8	9	8	8	7	5	2	6	3	6	4	12	8	10
desc	OG0005709	14	2	1	2	4	2	6	8	7	6	7	8	3	9	6	4	3	5	15	12
desc	OG0005595	88	5	26	1	4	1	21	30	40	17	11	24	6	11	4	7	10	12	11	44
desc	OG0004920	30	9	10	1	5	3	8	17	15	30	13	25	10	7	25	16	12	15	11	24
desc	OG0001336	0	4	1	6	4	14	0	1	1	0	0	3	0	0	0	3	13	2	1	1
desc	OG0003728	16	4	3	11	2	2	4	5	5	4	2	2	1	11	5	6	3	2	4	6
desc	OG0005693	36	10	7	3	5	2	10	28	26	10	12	54	46	12	17	17	4	16	6	9
desc	OG0005465	6	3	4	1	2	1	3	8	6	4	6	3	2	6	2	3	2	4	4	3
desc	OG0006832	0	3	11	4	2	4	17	10	9	8	9	2	5	10	2	8	5	9	9	11
desc	OG0001688	9	1	1	1	0	0	1	2	2	2	1	7	2	5	4	1	2	3	3	4
desc	OG0005093	0	8	10	3	3	2	10	12	14	11	10	49	7	13	7	15	20	12	9	18
desc	OG0006500	6	4	2	2	3	2	4	8	5	12	4	12	4	4	5	2	4	10	8	8
desc	OG0004040	10	4	2	4	3	1	6	16	18	15	8	4	10	7	13	5	2	11	8	16
desc	OG0005229	29	6	70	10	14	41	20	39	46	66	92	38	64	26	89	93	35	53	58	61
desc	OG0002945	10	2	1	1	2	1	2	8	4	14	3	2	3	2	2	2	2	6	4	8
desc	OG0004195	16	12	13	3	3	1	6	0	20	24	33	14	16	12	9	13	9	30	15	23
desc	OG0005476	9	12	9	2	2	1	0	33	26	14	18	6	7	2	3	8	2	30	46	67
desc	OG0005463	26	8	6	4	4	2	9	19	18	16	10	21	6	17	18	11	7	13	13	18
desc	OG0005743	14	27	51	2	3	3	39	53	24	8	8	43	8	35	3	17	8	15	14	14
desc	OG0003811	11	4	4	9	2	3	6	14	10	8	3	4	6	4	14	3	2	7	10	8
desc	OG0006971	13	2	2	4	3	3	3	6	6	14	3	10	2	5	3	6	3	5	2	5
desc	OG0004131	30	5	2	3	5	2	2	19	19	17	11	11	7	7	8	3	7	16	13	14
desc	OG0004644	14	2	1	1	3	1	3	5	5	4	5	3	2	3	3	2	1	5	3	4
desc	OG0006435	18	4	3	1	1	1	6	15	16	12	2	3	7	2	11	5	2	8	7	7
desc	OG0004845	44	7	10	11	4	5	25	33	26	34	38	22	18	17	19	19	22	50	33	32
desc	OG0003654	17	2	1	1	2	2	8	10	10	5	4	7	4	4	3	2	4	6	3	5
desc	OG0003738	22	6	9	2	3	2	11	17	14	8	9	14	4	7	9	12	8	11	10	9
desc	OG0004075	2	4	7	4	2	1	6	20	13	8	8	4	8	4	5	3	1	8	8	16
desc	OG0006201	0	4	2	1	3	8	12	25	14	8	7	19	6	4	5	6	10	17	8	7
desc	OG0000147.2	5	2	1	1	2	1	2	7	5	6	4	3	2	7	3	2	1	5	3	3
desc	OG0006108	6	1	1	1	2	2	6	4	2	8	2	3	1	2	8	2	2	5	2	7
desc	OG0007206	6	1	4	3	2	12	2	4	4	4	4	32	3	6	4	7	2	6	7	8
desc	OG0003949	18	38	7	43	14	6	32	20	20	25	48	56	50	20	9	119	941	26	28	59
desc	OG0006827	20	9	16	22	10	21	13	12	14	11	12	10	4	10	6	29	40	10	13	11
desc	OG0002858	8	3	0	1	2	1	5	8	10	14	8	6	3	4	2	2	1	11	8	9
desc	OG0004871	9	3	2	1	3	2	5	8	10	12	14	6	15	2	4	2	3	16	12	30
desc	OG0002664	6	2	1	1	2	1	4	12	10	6	9	1	4	3	6	6	2	18	10	6
