TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0004084	239	600	591	63	668	0	550	378	534	669	168	592	378	1168	465	448	1642	346	869	791	581	1692	121	585	520	937	451	290.124	302.764	159.573	87.5662	35.2794	24.8226	549.733	483.807	444.301	573.644	444.301	315.952	483.807	709.7	549.733	598.592	651.786	806.344	598.592	740.555	680.128	549.733	526.817	266.401	598.592	651.786
OG0005911	1621	117	1329	2177	1599	84	1102	1833	327	253	282	244	771	1188	799	136	820	356	1109	495	461	827	771	1603	183	482	294	772.751	549.733	463.634	877.969	709.7	374.685	624.624	916.131	772.751	504.855	315.952	374.685	444.301	680.128	526.817	425.772	624.624	624.624	549.733	651.786	483.807	624.624	997.496	1133.28	278.011	374.685
OG0005251	470	3803	2934	72	878	62	454	751	491	1938	1994	1892	2851	1505	2108	753	3166	1286	1515	2829	2247	1183	1400	1439	1388	2709	1418	772.751	955.949	806.344	390.995	152.892	234.391	1086.08	549.733	598.592	1733.98	2055.48	2144.76	2335.13	1592.6	1592.6	1401.83	1733.98	2144.76	1809.3	2055.48	2542.38	1462.74	1343.46	1401.83	1733.98	1969.91
OG0004072	1542	852	1409	0	1447	196	31	273	335	990	1532	1835	2220	721	960	1490	3219	4082	2005	8741	6678	7098	2489	2261	1684	1891	1958	573.644	374.685	255.275	146.488	49.9707	526.817	526.817	123.431	302.764	1401.83	1401.83	1809.3	2055.48	1401.83	1969.91	2652.81	3144.57	4058.24	4418.36	4610.23	7678.04	2768.02	3572.32	2335.13	1809.3	1969.91
OG0004437	4649	3402	5407	24	2090	589	2047	2881	481	4474	2154	2417	3379	6957	2876	2054	6893	3076	5675	3413	3926	7550	4432	4243	2574	2249	3020	2436.55	1809.3	1133.28	709.7	266.401	1133.28	2652.81	1462.74	1182.52	3889.33	3281.14	2542.38	2888.24	4234.47	3281.14	3572.32	4234.47	4610.23	3889.33	4234.47	3727.46	4058.24	5237.29	4418.36	2542.38	2652.81
OG0005083	3641	4374	20981	4067	8844	1532	7872	17711	24010	3450	3713	3873	5686	13915	7749	3859	15942	3492	8234	9176	8501	38649	38949	23063	9577	11194	5287	5949.62	7358.52	5702.01	6477.54	3889.33	3727.46	9496.18	13921.3	20408.4	7052.29	3889.33	4234.47	4610.23	10787.7	9496.18	10338.7	13921.3	8722.27	6477.54	8722.27	8722.27	19559.2	32572.4	29918	8359.3	7678.04
OG0003765	13965	212	1490	23	932	175	7	725	221	389	724	567	662	374	1067	884	1724	300	329	733	272	187	0	5	491	352	409	841.396	244.611	266.401	302.764	140.352	408.014	215.21	80.3491	408.014	408.014	526.817	651.786	624.624	359.053	344.071	215.21	134.47	598.592	359.053	408.014	444.301	47.8498	11.0161	1.49366	425.772	374.685
OG0003246	448	832	15223	201	1037	745	438	2381	1741	636	955	1085	1747	1153	1453	710	4101	364	1840	1546	0	1919	1184	1630	520	1113	1260	877.969	1182.52	1233.91	1462.74	504.855	877.969	1086.08	1086.08	2055.48	1086.08	916.131	1182.52	1401.83	1233.91	1287.52	1182.52	1401.83	1733.98	1182.52	1969.91	0.0658259	1233.91	1592.6	1401.83	841.396	1182.52
OG0004317	102	0	481	49	331	0	218	198	309	168	351	121	179	478	215	65	1646	287	455	597	254	225	240	70	110	215	126	76.9642	67.6314	16.615	64.7757	25.9437	17.3798	234.391	234.391	244.611	234.391	189.328	206.214	146.488	266.401	197.592	189.328	266.401	598.592	374.685	408.014	390.995	152.892	159.573	128.833	140.352	166.545
OG0006320	3018	1061	8279	1337	3303	314	3943	6276	3655	580	481	482	8	1935	6300	282	1586	329	554	564	560	2828	1446	2607	506	1175	662	1969.91	1661.79	1733.98	2144.76	1133.28	1040.85	1592.6	4418.36	4810.43	806.344	266.401	146.488	64.7757	1592.6	1462.74	772.751	1040.85	680.128	483.807	573.644	573.644	1401.83	2237.92	1969.91	709.7	877.969
OG0000530	4493	5238	8499	5267	9763	669	2667	4598	9879	1176	2169	2348	3440	2423	2951	1449	2991	1440	2619	3332	2778	5312	4946	4104	593	2262	1895	3889.33	3727.46	4810.43	4418.36	3281.14	2542.38	2888.24	4610.23	6758.81	2237.92	1809.3	2542.38	2888.24	2436.55	2542.38	2335.13	2652.81	2542.38	2335.13	2888.24	3013.68	2888.24	4810.43	4418.36	1233.91	2055.48
OG0003161	2207	5985	6409	19700	5779	1065	10359	26654	23025	3332	2289	2589	3146	2234	4129	1341	5362	1342	8291	7266	5814	19823	27648	18878	10331	4178	3414	4418.36	6207.97	5702.01	5702.01	5464.71	2436.55	6477.54	17217.7	24190.3	3423.63	2888.24	2652.81	2888.24	3889.33	5019.33	5464.71	8359.3	4610.23	4234.47	7052.29	6477.54	12786.8	21294.5	23183.7	5702.01	3727.46
OG0001285	2482	472	7881	2061	3634	552	1895	2660	2648	374	483	573	1303	1873	1343	561	2446	1344	1699	2412	1747	1930	3551	5950	1528	2154	1273	1733.98	1462.74	1526.29	2652.81	1661.79	1401.83	1462.74	2335.13	2652.81	1040.85	526.817	680.128	877.969	1661.79	1526.29	1592.6	2237.92	1887.9	1733.98	1887.9	2055.48	2542.38	3423.63	4610.23	1592.6	1661.79
OG0004161	203	157	835	40	263	17	330	324	161	236	79	79	120	309	207	105	418	440	518	1726	795	219	105	734	348	314	342	189.328	181.409	140.352	134.47	56.9019	67.6314	234.391	266.401	234.391	206.214	140.352	91.4114	99.6098	278.011	255.275	278.011	390.995	598.592	709.7	877.969	1182.52	290.124	255.275	278.011	344.071	329.713
OG0006179	404	291	1226	119	512	64	1676	2035	1372	544	483	358	378	946	495	275	1554	526	919	1101	1004	909	924	472	168	565	236	483.807	526.817	302.764	302.764	159.573	181.409	877.969	1661.79	1661.79	573.644	463.634	408.014	374.685	624.624	526.817	549.733	680.128	997.496	806.344	997.496	1040.85	504.855	740.555	651.786	266.401	374.685
