Orthogroup,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5
OG0002643,1468,1219,88,547,424,174,612,327,456,303,5614,1730,2340,1368,1224,1947,762,1148,3599,1725,1032,1798,569,652,1662,433,1449,676,768,744,4453,1570,1354,1706,1364
OG0005950,398,273,28,100,144,62,397,347,555,234,2701,1114,1065,1012,601,1158,1221,335,1533,1933,2422,1197,342,358,649,388,733,238,439,310,2011,1027,873,366,580
OG0005808,1254,529,418,478,485,1509,8897,4826,5848,2540,10868,4094,6606,3279,1525,2934,1567,1372,28056,8171,7627,1114,245,252,250,406,598,201,156,358,4973,3209,1546,1301,1659
OG0004348,1564,1062,114,320,387,165,538,295,504,298,4607,1725,2311,1187,824,1338,479,405,2789,1067,1101,3375,763,1019,795,548,956,431,596,453,2135,630,539,457,327
OG0001257,1502,597,89,222,296,159,1067,1069,1782,934,560,269,451,429,786,1335,450,475,967,256,185,2914,1404,1961,1841,632,1012,553,382,307,712,381,220,186,225
OG0004792,1404,358,68,262,324,120,974,793,1039,584,1304,484,615,752,513,1008,312,471,1188,533,609,2343,1066,1060,806,873,754,437,336,334,1517,444,733,361,490
OG0003650,942,1138,85,435,592,160,261,112,181,158,11256,5276,5753,3661,1000,1847,389,455,1093,989,894,3396,1392,1403,1082,1107,1788,1196,1133,940,1088,836,307,294,334
OG0001113,6020,3038,304,1141,1208,619,1063,626,794,522,7454,2301,2285,1683,1086,2207,1001,1054,5101,1459,1246,4807,1559,1668,1243,1386,1350,544,648,647,2308,696,761,577,568
OG0002974,10,13,1,4,4,2,136,55,86,60,5551,1713,2220,859,876,982,666,393,3381,724,698,1064,278,390,326,351,668,340,395,366,1832,515,556,372,394
OG0002924,3748,3738,283,832,1094,414,3295,2755,3219,1574,5813,2296,3443,2451,1774,2087,1502,979,3961,1954,1913,7457,2567,2329,1884,2372,4278,2222,2063,2811,4549,1874,2071,1531,1413
OG0006530,3299,2001,259,886,644,547,48,18,23,40,2518,2563,2146,1836,2083,3482,1519,2223,4677,2531,2693,2404,1787,1264,1344,813,671,531,568,382,5320,7077,1820,575,1219
OG0004289,757,349,44,171,98,81,1096,1006,1590,660,1082,775,1126,517,408,349,240,111,1547,439,290,5483,969,1054,895,813,2376,854,482,995,1479,976,472,392,399
OG0003563,2838,1036,123,585,319,330,826,358,607,431,5508,923,1176,640,700,733,267,197,2264,586,340,3058,1277,1341,1154,808,2089,936,1172,1012,534,116,147,160,146
OG0004420,195,71,30,54,105,40,372,314,555,277,891,278,476,159,264,174,169,84,823,274,253,3321,824,720,755,897,1324,295,320,503,723,309,217,146,126
OG0001015,1579,1770,133,363,479,214,1680,1353,2254,1067,8538,1632,1756,1403,1793,2521,3300,1723,6749,2476,1818,5996,1487,1761,1789,1579,2347,778,877,1115,3064,984,1352,967,564
OG0003202,426,299,43,240,150,134,1599,1617,3103,1537,2732,698,825,609,259,642,170,240,1217,481,540,4257,881,2497,1554,1033,786,437,426,419,2237,646,781,844,424
OG0005979,609,2001,78,390,615,722,404,428,608,284,606,1461,1392,716,521,1212,1371,924,1035,2276,3465,1195,683,1293,1422,848,571,1027,1183,298,778,3663,695,443,1267
OG0006714,882,843,60,203,242,99,305,232,274,142,2450,912,1297,949,1207,1549,1013,711,2294,1015,943,2190,890,908,1177,780,1913,673,574,951,3403,1369,1228,1002,895
OG0004919,485,355,54,163,222,66,508,522,707,334,5758,874,1406,913,427,526,395,252,3435,3131,3252,1123,381,375,577,335,989,309,342,339,1124,431,361,426,315
OG0000380,1084,848,108,297,509,207,503,358,420,204,1420,569,601,568,508,1012,650,515,470,308,218,1764,738,683,1030,938,1959,1054,1179,1259,3230,1086,895,1122,503
OG0001937,162,186,32,91,68,36,872,814,1116,524,638,244,431,259,356,323,396,152,1059,348,267,2595,901,1089,1021,1295,1192,451,555,662,870,385,280,238,169
OG0004859,14454,8344,1165,5331,6233,1776,2699,1738,2631,1865,5676,3608,5556,3533,3733,5842,5513,4265,22435,13884,9395,12265,4316,4236,3952,5981,7322,2877,3153,3484,15027,11253,4641,4638,8234
OG0004934,2257,1560,177,580,672,271,2126,1784,2894,1455,867,394,360,601,839,1592,797,961,1677,1641,1026,3729,1089,1012,964,1446,2363,861,991,1366,3617,1652,1122,1341,1024
OG0007256,3744,2479,248,527,425,523,149,116,96,72,1790,3061,2909,1564,2612,5261,3037,550,10859,5535,8770,12298,2037,2387,2960,1782,4870,1226,2169,1923,6042,4830,2752,1081,1458
OG0005277,1977,456,182,481,1141,308,1295,1220,1088,463,9290,2386,9101,4633,1247,1478,1519,954,1822,1859,1786,6716,1095,1465,1320,2726,4256,1304,1159,2889,3995,1554,812,806,797
OG0003151,3075,3235,667,2422,4154,1182,1979,1521,1649,1052,1302,1167,2002,1150,2349,3839,2647,1559,1803,1026,811,8806,2209,2164,2858,3708,3971,2448,2345,2951,5279,1866,3476,2452,1671
OG0004946,2014,3404,194,755,1612,192,538,509,927,533,19846,12079,13268,4296,623,2511,2305,2550,3749,3454,5048,3808,567,614,853,1331,287,114,201,892,9920,6957,2567,2596,1999
OG0005903,4171,11634,651,2378,1939,7907,2954,2882,3827,1562,7490,36763,17538,12052,13173,35981,13502,5264,8358,17719,32537,5547,6563,13507,9158,7224,3657,10943,16162,2163,5766,28803,5330,2605,6580
OG0005695,1511,1905,174,1026,840,392,3920,1971,3806,2497,6352,2840,3934,4042,1841,1763,1689,1501,6841,1823,1824,7374,3024,3553,4094,4797,2839,1888,1673,3278,4318,2060,1353,1105,1232
OG0005084,431,361,24,94,180,73,185,133,202,133,951,256,442,225,208,252,165,167,1186,500,383,1924,416,450,432,494,597,343,323,294,1543,714,455,436,357
OG0005933,560,227,16,81,103,52,543,413,434,251,2568,967,1233,756,167,301,231,115,4520,1241,1230,355,37,94,101,81,754,375,324,467,769,273,309,397,160
OG0004828,2133,255,94,282,218,225,1099,720,891,529,2513,1298,1659,1538,456,907,638,567,3300,1326,1194,2661,630,653,451,1537,2633,1241,1254,1958,1367,1464,453,284,596
OG0006832,3212,5254,259,642,813,280,1000,979,1504,638,2824,900,1192,664,783,1140,775,647,1973,1201,941,2892,876,861,1143,834,1767,522,698,994,2460,1460,722,670,478
OG0002945,375,346,80,136,103,146,634,519,815,390,2492,456,742,886,777,1108,630,499,1915,349,389,2265,758,640,876,1069,896,302,424,482,2388,362,311,255,472
OG0005476,4,0,0,0,0,0,1390,1404,2114,836,9398,5494,3042,2663,2084,7473,11160,5720,3516,6218,8745,5085,2000,3816,7635,2721,3674,1660,3804,2350,6534,4319,2642,1173,1763
OG0004075,736,932,197,742,456,477,1541,1824,2288,1388,2831,1323,1964,655,1513,2507,984,1323,4588,1000,721,3261,2683,2622,2771,1856,3131,1422,1483,1654,3857,1158,1205,1029,877
OG0006201,627,575,61,220,286,149,277,150,266,229,3197,938,808,1609,423,992,231,242,1186,464,750,2513,1068,1184,1326,1000,1232,550,642,614,987,371,471,565,339
OG0000147.2,908,554,83,201,209,175,724,520,832,547,1810,727,949,680,854,963,563,372,3786,797,999,1564,1096,899,824,1213,1297,520,592,758,3399,1419,938,695,928
OG0004871,1070,321,106,315,229,128,4059,4712,6468,2770,3921,1190,1795,1506,1836,2506,2116,1283,2816,1129,1088,2236,558,453,484,725,1860,563,610,842,4976,2051,1503,1046,1565
OG0002664,1454,461,119,304,441,215,1358,1089,1531,702,7163,2825,3223,1892,796,1248,491,472,4355,1144,1197,2934,1515,1529,1480,1895,2338,963,1116,1031,3439,2152,1461,807,873
OG0004515,7239,2639,447,1245,729,686,1089,1222,1360,549,4655,2119,2324,1658,3481,6549,3293,3260,8109,4805,3514,17814,5080,4103,3078,2452,17846,2790,2800,4379,12077,6807,2330,1855,1736
OG0006130,451,260,23,147,143,81,793,759,888,1277,1139,499,873,506,445,582,449,217,798,342,264,1196,524,611,588,630,512,222,195,369,795,390,469,340,307
OG0003767,2326,148,18,91,49,52,1294,955,1208,463,263,88,139,63,135,125,142,49,536,126,147,1562,559,640,808,732,900,755,504,1024,454,137,156,111,81
OG0005777,1229,587,53,658,1190,117,543,307,441,256,3022,2259,2327,1452,1388,2755,504,473,4640,1032,831,1986,929,889,430,784,1290,732,511,703,3290,2375,951,1294,1371
