TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005956	[13-13]	[4-4]	[2-2]	[3-3]	[3-3]	[1-1]	[2-2]	[4-4]	[4-4]	[2-2]	[0-0]	[1-1]	[2-2]	[2-2]	[2-2]	[2-2]	[7-7]	[15-15]	[8-8]	[2-2]	[1.07768-10.2599]	[1.29045-10.2599]	[0.654916-5.91539]	[0.946923-3.68212]	[1.01124-3.53239]	[1.29045-4.50827]	[0.884665-4.50827]	[0.453174-4.50827]	[1.01124-7.40435]	[0.550768-2.97987]	[0.453174-3.11134]	[1.07768-6.37983]	[0.235221-3.99656]	[0.318177-5.69426]	[0.946923-9.89986]	[1.36612-12.2467]	[3.24716-14.5841]	[3.11134-13.6033]	[1.52502-8.57112]
OG0006221	[0-0]	[5-5]	[8-8]	[24-24]	[23-23]	[23-23]	[13-13]	[27-27]	[33-33]	[28-28]	[12-12]	[6-6]	[3-3]	[22-22]	[2-2]	[7-7]	[11-11]	[20-20]	[9-9]	[26-26]	[2.49471-18.5652]	[1.78361-13.1364]	[5.27297-24.3746]	[9.55131-24.3746]	[11.4131-26.9733]	[14.0857-35.2794]	[13.1364-41.6808]	[11.4131-46.0518]	[9.2139-41.6808]	[8.26506-22.0174]	[13.1364-38.9948]	[16.1801-58.0716]	[3.53239-15.6307]	[3.38746-19.8791]	[3.68212-24.3746]	[2.06869-16.1801]	[5.27297-22.0174]	[5.91539-23.5632]	[4.16162-17.9395]
OG0003528	[6-6]	[5-5]	[0-0]	[3-3]	[4-4]	[5-5]	[6-6]	[3-3]	[4-4]	[6-6]	[0-0]	[3-3]	[1-1]	[2-2]	[2-2]	[7-7]	[2-2]	[5-5]	[11-11]	[11-11]	[1.29045-11.8231]	[0.946923-8.88729]	[0.824398-6.62361]	[1.01124-3.83678]	[1.6946-4.8782]	[2.27478-6.87545]	[1.87557-7.68198]	[1.87557-9.55131]	[1.52502-9.55131]	[0.946923-3.83678]	[0.946923-4.50827]	[2.17006-10.2599]	[0.406705-4.50827]	[0.084642-4.33213]	[1.87557-14.5841]	[1.14631-11.0161]	[2.61015-12.2467]	[1.87557-9.2139]	[1.52502-8.57112]
OG0000865.1	[12-12]	[11-11]	[7-7]	[9-9]	[7-7]	[7-7]	[6-6]	[7-7]	[8-8]	[7-7]	[4-4]	[8-8]	[2-2]	[5-5]	[1-1]	[2-2]	[14-14]	[2-2]	[4-4]	[4-4]	[1.60843-13.6033]	[3.24716-19.8791]	[3.11134-16.1801]	[3.83678-10.2599]	[3.83678-9.89986]	[4.33213-11.8231]	[3.99656-14.0857]	[3.24716-14.5841]	[2.72941-14.5841]	[2.97987-8.88729]	[3.24716-11.0161]	[3.53239-15.0989]	[1.87557-9.55131]	[0.946923-8.26506]	[0.601995-8.26506]	[0.406705-7.40435]	[1.6946-8.57112]	[1.6946-8.57112]	[2.49471-12.2467]
OG0004188	[8-8]	[3-3]	[3-3]	[5-5]	[10-10]	[20-20]	[4-4]	[9-9]	[8-8]	[5-5]	[4-4]	[4-4]	[3-3]	[4-4]	[3-3]	[2-2]	[1-1]	[1-1]	[2-2]	[5-5]	[1.07768-10.6319]	[1.97056-13.6033]	[1.87557-11.0161]	[3.38746-9.2139]	[3.99656-9.89986]	[5.27297-14.0857]	[5.48019-18.5652]	[6.87545-28.8519]	[2.72941-14.5841]	[2.49471-7.68198]	[2.85261-9.89986]	[2.97987-12.6843]	[1.44428-7.96878]	[1.07768-8.88729]	[0.406705-7.40435]	[0.157486-5.91539]	[0.195722-3.68212]	[0.120472-3.24716]	[0.195722-3.83678]
OG0005146	[5-5]	[2-2]	[2-2]	[4-4]	[2-2]	[3-3]	[2-2]	[3-3]	[3-3]	[3-3]	[2-2]	[2-2]	[1-1]	[3-3]	[1-1]	[2-2]	[4-4]	[4-4]	[2-2]	[3-3]	[0.361722-7.40435]	[0.709584-7.68198]	[0.601995-5.69426]	[1.21721-4.33213]	[1.36612-4.33213]	[1.44428-4.8782]	[1.29045-5.91539]	[0.824398-5.69426]	[0.766058-6.37983]	[1.07768-4.16162]	[1.21721-5.07238]	[1.14631-6.62361]	[0.406705-4.50827]	[0.235221-5.27297]	[0.235221-6.62361]	[0.195722-6.14384]	[1.01124-6.37983]	[1.29045-7.1356]	[1.01124-6.62361]
OG0006484	[11-11]	[3-3]	[8-8]	[8-8]	[8-8]	[11-11]	[11-11]	[16-16]	[12-12]	[11-11]	[2-2]	[3-3]	[6-6]	[4-4]	[3-3]	[4-4]	[2-2]	[1-1]	[4-4]	[38-38]	[2.38296-17.9395]	[2.72941-17.3339]	[2.49471-13.6033]	[4.69023-12.6843]	[4.8782-11.8231]	[6.62361-16.7476]	[4.8782-16.1801]	[4.50827-19.2115]	[6.37983-28.8519]	[3.11134-9.2139]	[3.68212-12.2467]	[5.69426-22.7777]	[1.78361-8.88729]	[1.78361-11.8231]	[2.27478-16.7476]	[0.501178-7.96878]	[0.884665-5.91539]	[0.601995-4.69023]	[1.01124-6.62361]
OG0004864	[6-6]	[2-2]	[2-2]	[3-3]	[3-3]	[3-3]	[4-4]	[6-6]	[5-5]	[7-7]	[1-1]	[2-2]	[2-2]	[32-32]	[1-1]	[2-2]	[2-2]	[2-2]	[7-7]	[4-4]	[0.709584-8.88729]	[1.14631-9.55131]	[1.01124-7.40435]	[2.06869-6.14384]	[2.38296-6.62361]	[2.06869-6.37983]	[1.36612-5.91539]	[1.07768-6.87545]	[1.97056-11.4131]	[2.49471-7.68198]	[1.78361-6.62361]	[2.72941-12.2467]	[2.49471-11.8231]	[3.68212-20.5688]	[0.406705-7.40435]	[0.235221-6.37983]	[1.21721-6.87545]	[0.601995-4.69023]	[0.550768-4.8782]
OG0003841	[6-6]	[6-6]	[1-1]	[3-3]	[3-3]	[3-3]	[2-2]	[2-2]	[3-3]	[2-2]	[1-1]	[4-4]	[1-1]	[1-1]	[2-2]	[2-2]	[3-3]	[1-1]	[2-2]	[4-4]	[0.550768-8.26506]	[1.01124-8.88729]	[0.824398-6.62361]	[0.946923-3.53239]	[1.14631-3.83678]	[1.36612-4.69023]	[1.36612-5.91539]	[1.07768-6.87545]	[0.453174-5.27297]	[0.766058-3.53239]	[0.709584-3.83678]	[0.884665-5.48019]	[0.276025-4.16162]	[0.0499578-3.24716]	[0.318177-6.87545]	[0.157486-5.91539]	[0.453174-4.50827]	[0.453174-4.33213]	[0.824398-5.69426]
OG0005165	[18-18]	[5-5]	[4-4]	[3-3]	[4-4]	[3-3]	[2-2]	[5-5]	[8-8]	[6-6]	[3-3]	[1-1]	[3-3]	[5-5]	[2-2]	[2-2]	[2-2]	[8-8]	[4-4]	[12-12]	[1.78361-14.0857]	[2.27478-15.0989]	[1.44428-9.2139]	[2.06869-6.14384]	[2.17006-5.91539]	[1.87557-5.91539]	[1.52502-6.62361]	[1.36612-7.68198]	[1.21721-8.26506]	[2.06869-6.62361]	[2.85261-9.55131]	[3.24716-14.0857]	[0.884665-5.91539]	[1.29045-9.89986]	[1.44428-12.2467]	[0.601995-8.57112]	[1.52502-7.96878]	[1.44428-7.68198]	[0.550768-4.8782]
