#Taxon_ID	Increase	Decrease
stmer<8>	26	10
stgag<5>	9	10
neva<2>	47	152
chfle<15>	26	75
<39>	2	0
chfus<16>	5	114
sama<17>	104	18
acte<12>	35	95
gafu<1>	280	50
sthad<6>	10	13
hemag<4>	18	59
mado<11>	17	741
<29>	0	1
enqua<3>	128	246
<32>	1	0
heau<9>	4	14
hecri<10>	11	5
hehe<7>	19	70
hyva<20>	433	49
ando<13>	2	35
oula<14>	22	5
cyca<18>	68	125
neno<19>	161	9
